file,,name,include,copyright,copyrightLink,category,disputed,territory,all,,style,canton,star,emblemFlag,red white blue,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
99412951.svg,,Cuba,,,none,na,,naTerritories,naAll,,,,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
13229736.svg,,Cyprus,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
09886422.svg,,Czech Republic,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
78732667.svg,,Democratic Republic of the Congo,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
71452656.svg,,Denmark,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
16044260.svg,,Djibouti,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
96675787.svg,,Dominica,,,none,na,,naTerritories,naAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
05255284.svg,,Dominican Republic,,,none,na,,naTerritories,naAll,,,,,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
28756201.svg,,East Timor,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
55837391.svg,,Ecuador,,,none,sa,,saTerritories,saAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
06648886.svg,,Egypt,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
15069363.svg,,El Salvador,,,none,sa,,saTerritories,saAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
87524895.svg,,Equatorial Guinea,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
83460825.svg,,Eritrea,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
50973819.svg,,Estonia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
73534156.svg,,Eswatini,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
88715694.svg,,Ethiopia,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
79826005.svg,,Fiji,,,none,oceania,,oceaniaTerritories,oceaniaAll,,unionJack,canton,,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
74098912.svg,,Finland,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
99554742.svg,,France,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
01078096.svg,,Gabon,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
85378027.svg,,Georgia,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
99884561.svg,,Germany,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
64741833.svg,,Ghana,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
24746496.svg,,Greece,,,none,europe,europeDisputed,europeTerritories,europeAll,,,canton,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
21010015.svg,,Grenada,,,none,na,,naTerritories,naAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
68674629.svg,,Guatemala,,,none,sa,,saTerritories,saAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
42262508.svg,,Guinea,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
17391091.svg,,Guinea-Bissau,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
03488940.svg,,Guyana,,,none,sa,,saTerritories,saAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
19868785.svg,,Haiti,,,none,na,,naTerritories,naAll,,,,,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
28612417.svg,,Honduras,,,none,na,,naTerritories,naAll,,triband,,star,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
51604429.svg,,Hungary,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
31010081.svg,,Iceland,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
92398591.svg,,India,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
13984925.svg,,Indonesia,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
37599077.svg,,Iran,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
